test_id,test_name,provider,model,effort,pass,duration_ms,input_tokens,output_tokens
airplane-mode-off,Turn off airplane mode,codex-gpt-5.3-codex,gpt-5.3-codex,low,true,148656,407186,3555
set-alarm-5pm,Set an alarm for 5:00 PM,codex-gpt-5.3-codex,gpt-5.3-codex,low,false,477272,1730331,9883
uninstall-app,Uninstall the Firefox Focus app,codex-gpt-5.3-codex,gpt-5.3-codex,low,false,408300,1232157,7970
airplane-mode-on,Turn on airplane mode,codex-gpt-5.4,gpt-5.4,low,false,603625,0,0
airplane-mode-off,Turn off airplane mode,codex-gpt-5.4,gpt-5.4,low,true,182397,674585,4448
set-alarm-5pm,Set an alarm for 5:00 PM,codex-gpt-5.4,gpt-5.4,low,true,415112,1650568,10920
uninstall-app,Uninstall the Firefox Focus app,codex-gpt-5.4,gpt-5.4,low,true,139418,404455,4681
airplane-mode-on,Turn on airplane mode,codex-gpt-5.4,gpt-5.4,low,true,50055,187579,1284
airplane-mode-off,Turn off airplane mode,codex-gpt-5.4,gpt-5.4,low,true,122560,560143,3299
set-alarm-5pm,Set an alarm for 5:00 PM,codex-gpt-5.4,gpt-5.4,low,true,383480,1368629,9109
uninstall-app,Uninstall the Firefox Focus app,codex-gpt-5.4,gpt-5.4,low,false,579305,2596034,14442
airplane-mode-on,Turn on airplane mode,gemini-gemini-2.5-pro,gemini-2.5-pro,,false,240938,833822,4261
airplane-mode-off,Turn off airplane mode,gemini-gemini-2.5-pro,gemini-2.5-pro,,false,215993,652727,2360
set-alarm-5pm,Set an alarm for 5:00 PM,gemini-gemini-2.5-pro,gemini-2.5-pro,,false,271161,840323,4038
uninstall-app,Uninstall the Firefox Focus app,gemini-gemini-2.5-pro,gemini-2.5-pro,,false,884744,0,0
airplane-mode-on,Turn on airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,498135,1197396,20017
airplane-mode-off,Turn off airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,false,604119,3027901,3798
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,347582,714600,13852
uninstall-app,Uninstall the Firefox Focus app,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,303312,534515,12536
airplane-mode-on,Turn on airplane mode,claude-claude-opus-4-6,claude-opus-4-6,low,true,114035,81391,3105
airplane-mode-off,Turn off airplane mode,claude-claude-opus-4-6,claude-opus-4-6,low,true,80504,99153,3084
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-opus-4-6,claude-opus-4-6,low,true,405768,559326,10399
uninstall-app,Uninstall the Firefox Focus app,claude-claude-opus-4-6,claude-opus-4-6,low,true,246113,497576,8776
airplane-mode-on,Turn on airplane mode,codex-gpt-5.3-codex,gpt-5.3-codex,low,true,53087,120080,1108
airplane-mode-off,Turn off airplane mode,codex-gpt-5.3-codex,gpt-5.3-codex,low,true,78955,196002,1989
set-alarm-5pm,Set an alarm for 5:00 PM,codex-gpt-5.3-codex,gpt-5.3-codex,low,false,570661,2562342,14325
uninstall-app,Uninstall the Firefox Focus app,codex-gpt-5.3-codex,gpt-5.3-codex,low,false,160507,335268,4219
airplane-mode-on,Turn on airplane mode,codex-gpt-5.4,gpt-5.4,low,true,377439,1407077,7255
airplane-mode-off,Turn off airplane mode,codex-gpt-5.4,gpt-5.4,low,true,106531,373479,2337
set-alarm-5pm,Set an alarm for 5:00 PM,codex-gpt-5.4,gpt-5.4,low,false,441779,2573784,12409
uninstall-app,Uninstall the Firefox Focus app,codex-gpt-5.4,gpt-5.4,low,false,575531,2197279,12070
airplane-mode-on,Turn on airplane mode,claude-claude-opus-4-5,claude-opus-4-5,low,true,125982,106690,4852
airplane-mode-off,Turn off airplane mode,claude-claude-opus-4-5,claude-opus-4-5,low,false,604136,4843681,461
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-opus-4-5,claude-opus-4-5,low,true,519578,1800595,22103
uninstall-app,Uninstall the Firefox Focus app,claude-claude-opus-4-5,claude-opus-4-5,low,true,477709,1496643,20029
get-verification-code,Get verification code from text message,claude-claude-opus-4-5,claude-opus-4-5,low,true,226543,442742,10865
airplane-mode-on,Turn on airplane mode,claude-claude-opus-4-6,claude-opus-4-6,low,true,67218,85407,3503
airplane-mode-off,Turn off airplane mode,claude-claude-opus-4-6,claude-opus-4-6,low,true,133106,195052,4961
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-opus-4-6,claude-opus-4-6,low,true,375485,1189609,16080
uninstall-app,Uninstall the Firefox Focus app,claude-claude-opus-4-6,claude-opus-4-6,low,true,448938,1364494,16349
uninstall-app,Uninstall the Firefox Focus app,gemini-gemini-2.5-flash-lite,gemini-2.5-flash-lite,,false,19607,26349,133
airplane-mode-on,Turn on airplane mode,codex-gpt-5.4,gpt-5.4,low,true,192455,810254,4204
airplane-mode-off,Turn off airplane mode,codex-gpt-5.4,gpt-5.4,low,true,88347,314728,2490
set-alarm-5pm,Set an alarm for 5:00 PM,codex-gpt-5.4,gpt-5.4,low,true,200207,897646,5323
uninstall-app,Uninstall the Firefox Focus app,codex-gpt-5.4,gpt-5.4,low,false,608398,0,0
get-verification-code,Get verification code from text message,codex-gpt-5.4,gpt-5.4,low,true,246280,968959,5444
airplane-mode-on,Turn on airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,394379,716686,17438
airplane-mode-off,Turn off airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,211206,280790,9666
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,false,603969,3379615,3702
uninstall-app,Uninstall the Firefox Focus app,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,378261,913299,15326
airplane-mode-on,Turn on airplane mode,claude-claude-opus-4-6,claude-opus-4-6,low,true,45186,41941,1728
airplane-mode-off,Turn off airplane mode,claude-claude-opus-4-6,claude-opus-4-6,low,true,87976,120811,3717
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-opus-4-6,claude-opus-4-6,low,true,391471,960154,13104
uninstall-app,Uninstall the Firefox Focus app,claude-claude-opus-4-6,claude-opus-4-6,low,true,341885,811624,11989
airplane-mode-on,Turn on airplane mode,codex-gpt-5.3-codex,gpt-5.3-codex,low,true,126520,514822,3702
airplane-mode-off,Turn off airplane mode,codex-gpt-5.3-codex,gpt-5.3-codex,low,false,95374,386075,3211
